sentences,cluster,neuron,feature,iou
"['Two women are embracing while holding to go packages .\n', 'The men are fighting outside a deli .\n']",1,1000,pre:tok:in,1.0
"['Two women are embracing while holding to go packages .\n', 'The men are fighting outside a deli .\n']",2,850,pre:tok:in,1.0
"['Two women are embracing while holding to go packages .\n', 'The men are fighting outside a deli .\n']",3,0,pre:tok:in,1.0
"['Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .\n', 'Two kids at a ballgame wash their hands .\n']",5,1023,pre:tok:in,1.0
"['Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .\n', 'Two kids in jackets walk to school .\n']",2,850,pre:tok:in,1.0
"['Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .\n', 'Two kids in jackets walk to school .\n']",3,0,pre:tok:in,1.0
"['Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .\n', 'Two kids in jackets walk to school .\n']",5,1023,pre:tok:in,1.0
"['A man selling donuts to a customer during a world exhibition event held in the city of Angeles\n', 'A woman drinks her coffee in a small cafe .\n']",2,1023,pre:tok:in,1.0
"['A man selling donuts to a customer during a world exhibition event held in the city of Angeles\n', 'A woman drinks her coffee in a small cafe .\n']",4,0,pre:tok:in,1.0
"['Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .\n', 'dog eats out of bowl\n']",2,850,pre:tok:and,1.0
"['Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .\n', 'dog eats out of bowl\n']",2,1023,pre:tok:and,1.0
"['Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .\n', 'dog eats out of bowl\n']",5,0,pre:tok:and,1.0
"['Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .\n', 'boys scoring a touchdown\n']",5,1023,pre:tok:in,1.0
"['A man in a blue shirt standing in front of a garage - like structure painted with geometric designs .\n', 'A man is repainting a garage\n']",1,0,pre:tok:in,1.0
"['A man in a blue shirt standing in front of a garage - like structure painted with geometric designs .\n', 'A man is repainting a garage\n']",3,1000,pre:tok:in,1.0
"['A man in a blue shirt standing in front of a garage - like structure painted with geometric designs .\n', 'A man is repainting a garage\n']",5,1023,pre:tok:in,1.0
"['A man in a blue shirt standing in front of a garage - like structure painted with geometric designs .\n', 'A man is wearing a black shirt\n']",2,1000,pre:tok:on,1.0
"['A man in a blue shirt standing in front of a garage - like structure painted with geometric designs .\n', 'A man is wearing a black shirt\n']",3,850,pre:tok:on,1.0
"['A man in a blue shirt standing in front of a garage - like structure painted with geometric designs .\n', 'A man is wearing a black shirt\n']",4,0,pre:tok:on,1.0
"['Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .\n', 'A child is reaching to touch the propeller out of curiosity .\n']",2,1023,pre:tok:on,1.0
"['Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .\n', 'A child is playing with a ball .\n']",3,1000,pre:tok:in,1.0
"['A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .\n', 'A woman is fixing her home .\n']",5,1023,pre:tok:in,1.0
"['A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .\n', 'A woman is doing a cartwheel and falls on her head .\n']",2,1000,pre:tok:in,1.0
"['A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .\n', 'A woman is doing a cartwheel and falls on her head .\n']",4,1023,pre:tok:in,1.0
"['Two men on bicycles competing in a race .\n', 'A few people are catching fish .\n']",3,1000,pre:tok:in,1.0
"['Two men on bicycles competing in a race .\n', 'A few people are catching fish .\n']",3,1023,pre:tok:in,1.0
"['A young boy in a field of flowers carrying a ball\n', 'boy leaving baseball game\n']",4,0,pre:tok:in,1.0
"['A young boy in a field of flowers carrying a ball\n', 'boy leaving baseball game\n']",5,1023,pre:tok:in,1.0
"['A young boy in a field of flowers carrying a ball\n', 'dog in pool\n']",2,1023,pre:tok:in,1.0
"['A young boy in a field of flowers carrying a ball\n', 'dog in pool\n']",3,850,pre:tok:in,1.0
"['A young boy in a field of flowers carrying a ball\n', 'dog in pool\n']",4,0,pre:tok:in,1.0
"['Families waiting in line at an amusement park for their turn to ride .\n', 'The restaurant is very bad .\n']",1,850,pre:tok:in,1.0
"['Families waiting in line at an amusement park for their turn to ride .\n', 'The restaurant is very bad .\n']",3,0,pre:tok:in,1.0
"['Families waiting in line at an amusement park for their turn to ride .\n', 'The restaurant is very bad .\n']",5,1023,pre:tok:in,1.0
"['Families waiting in line at an amusement park for their turn to ride .\n', 'People are waiting in line at a restaurant .\n']",2,0,pre:tok:in,1.0
"['A senior is waiting at the window of a restaurant that serves sandwiches .\n', 'A man is waiting in line for the bus .\n']",2,0,pre:tok:is,1.0
"['A senior is waiting at the window of a restaurant that serves sandwiches .\n', 'A man is waiting in line for the bus .\n']",2,1000,pre:tok:is,1.0
"['A senior is waiting at the window of a restaurant that serves sandwiches .\n', 'A man is waiting in line for the bus .\n']",4,1023,pre:tok:is,1.0
"['A senior is waiting at the window of a restaurant that serves sandwiches .\n', 'A man is waiting in line for the bus .\n']",5,850,pre:tok:is,1.0
"['A senior is waiting at the window of a restaurant that serves sandwiches .\n', 'A man is looking to order a grilled cheese sandwich .\n']",4,850,pre:tok:in,1.0
"['A senior is waiting at the window of a restaurant that serves sandwiches .\n', 'A man is looking to order a grilled cheese sandwich .\n']",5,1023,pre:tok:in,1.0
"['Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .\n', 'A person in a suit\n']",3,0,pre:tok:in,1.0
"['Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .\n', 'Nobody has a suit\n']",2,1023,pre:tok:in,1.0
"['Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .\n', 'Nobody has a suit\n']",5,0,pre:tok:in,1.0
"['Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .\n', 'A tall person in a suit\n']",1,0,pre:tok:and,1.0
"['Two women having drinks and smoking cigarettes at the bar .\n', 'Two women are at a bar .\n']",3,400,pre:tok:and,1.0
"['Two women having drinks and smoking cigarettes at the bar .\n', 'Three women are at a bar .\n']",3,400,pre:tok:and,1.0
"['Two women having drinks and smoking cigarettes at the bar .\n', 'Women are celebrating at a bar .\n']",1,1023,pre:tok:in,1.0
"['Two women having drinks and smoking cigarettes at the bar .\n', 'Women are celebrating at a bar .\n']",2,400,pre:tok:in,1.0
"['At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .\n', 'A single man is next to a camera\n']",2,850,pre:tok:in,1.0
"['At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .\n', 'A single man is next to a camera\n']",2,1023,pre:tok:in,1.0
"['At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .\n', 'A single man is next to a camera\n']",3,0,pre:tok:in,1.0
"['At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .\n', 'A crowd is dancing\n']",3,1023,pre:tok:in,1.0
"['At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .\n', 'A crowd is dancing\n']",4,0,pre:tok:in,1.0
"['At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .\n', 'A crowd is dancing\n']",5,850,pre:tok:in,1.0
"['At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .\n', 'A crowd is in front of a camera\n']",2,1023,pre:tok:on,1.0
"['Two doctors perform surgery on patient .\n', 'Two surgeons are having lunch .\n']",4,0,pre:tok:on,1.0
"['Two doctors perform surgery on patient .\n', 'Two surgeons are having lunch .\n']",4,1023,pre:tok:on,1.0
"['Two doctors perform surgery on patient .\n', 'Two doctors are performing surgery on a man .\n']",2,1000,pre:tok:and,1.0
"['A white dog with long hair jumps to catch a red and green toy .\n', 'A white dog with long hair is swimming underwater .\n']",2,850,pre:tok:and,1.0
"['A white dog with long hair jumps to catch a red and green toy .\n', 'A white dog with long hair is swimming underwater .\n']",4,0,pre:tok:and,1.0
"['A white dog with long hair jumps to catch a red and green toy .\n', 'A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone .\n']",4,1023,pre:tok:on,1.0
"['Kids are on a amusement ride .\n', 'Kids ride their favorite amusement ride .\n']",2,1023,pre:tok:on,1.0
"['Kids are on a amusement ride .\n', 'A car is broke down on the side of the road .\n']",4,850,pre:tok:on,1.0
"['Kids are on a amusement ride .\n', 'A car is broke down on the side of the road .\n']",4,1023,pre:tok:on,1.0
"['Kids are on a amusement ride .\n', 'A car is broke down on the side of the road .\n']",5,0,pre:tok:on,1.0
"['A man in a black shirt is playing golf outside .\n', 'A man plays on a golf course to relax .\n']",5,1023,pre:tok:in,1.0
"['A man in a black shirt is playing golf outside .\n', 'The man in the black shirt trades Pokemon cards with his girlfriend .\n']",4,0,pre:tok:in,1.0
"['A man in a black shirt is playing golf outside .\n', 'The man in the black shirt trades Pokemon cards with his girlfriend .\n']",5,1023,pre:tok:in,1.0
"['A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .\n', 'a blond man laughs while doing laundry\n']",1,0,pre:tok:is,1.0
"['A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .\n', 'a blond man laughs while doing laundry\n']",2,1000,pre:tok:is,1.0
"['A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .\n', 'a blond man laughs while doing laundry\n']",5,1023,pre:tok:is,1.0
"['A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .\n', 'a guy laughs while doing laundry\n']",2,850,pre:tok:is,1.0
"['A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .\n', 'a guy laughs while doing laundry\n']",3,1023,pre:tok:is,1.0
"['A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .\n', 'two ladies pin clothes to dry\n']",3,0,pre:tok:in,1.0
"['A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .\n', 'two ladies pin clothes to dry\n']",3,850,pre:tok:in,1.0
"['An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake .\n', 'An Indian woman is putting her laundry into the machine .\n']",2,850,pre:tok:in,1.0
"['An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake .\n', 'An Indian woman is putting her laundry into the machine .\n']",3,0,pre:tok:in,1.0
"['A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him .\n', 'They are driving cars .\n']",4,0,pre:tok:in,1.0
"['A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him .\n', 'They both fall to the ground .\n']",3,0,pre:tok:in,1.0
"['A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him .\n', 'They both fall to the ground .\n']",3,1023,pre:tok:in,1.0
"['A group of onlookers glance at a person doing a strange trick on her head .\n', 'A boy does a card trick .\n']",3,0,pre:tok:on,1.0
"['A group of onlookers glance at a person doing a strange trick on her head .\n', 'A boy does a card trick .\n']",3,850,pre:tok:on,1.0
"['A group of onlookers glance at a person doing a strange trick on her head .\n', 'A boy does a card trick .\n']",3,1000,pre:tok:on,1.0
"['A group of onlookers glance at a person doing a strange trick on her head .\n', 'A boy does a card trick .\n']",4,1023,pre:tok:on,1.0
"['A group of onlookers glance at a person doing a strange trick on her head .\n', 'Onlookers are impressed by the trick .\n']",2,750,pre:tok:on,1.0
"['A group of onlookers glance at a person doing a strange trick on her head .\n', 'Onlookers are impressed by the trick .\n']",5,1023,pre:tok:on,1.0
"['The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .\n', 'Only one woman is wearing a head scarf .\n']",4,850,pre:tok:in,1.0
"['The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .\n', 'Only one woman is wearing a head scarf .\n']",5,0,pre:tok:in,1.0
"['The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .\n', 'These two women are friends .\n']",4,1023,pre:tok:in,1.0
"['A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .\n', 'A man is chasing an SUV that is going in the same direction as him .\n']",1,1000,pre:tok:in,1.0
"['A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .\n', 'A man is chasing an SUV that is going in the same direction as him .\n']",3,850,pre:tok:in,1.0
"['A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .\n', 'A man is chasing an SUV that is going in the same direction as him .\n']",5,1023,pre:tok:in,1.0
"['A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .\n', 'An SUV and a man are going in opposite directions .\n']",1,1023,pre:tok:in,1.0
"['A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .\n', 'An SUV and a man are going in opposite directions .\n']",2,0,pre:tok:in,1.0
"['A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .\n', 'A taxi SUV races to pick up some clients while a man walks peacefully in the other direction .\n']",1,1023,pre:tok:in,1.0
"['People wearing red shirts are standing in a large pool of water as it splashes over and around them .\n', 'Nobody has a shirt on\n']",5,0,pre:tok:in,1.0
"['People wearing red shirts are standing in a large pool of water as it splashes over and around them .\n', 'A tall person in a shirt\n']",5,1023,pre:tok:in,1.0
"['A man in a white t - shirt takes a picture in the middle of the street with two public buses in the background .\n', 'A man is wearing a black shirt\n']",1,850,pre:tok:in,1.0
"['A man in a white t - shirt takes a picture in the middle of the street with two public buses in the background .\n', 'A man is wearing a black shirt\n']",2,1000,pre:tok:in,1.0
"['A man in a white t - shirt takes a picture in the middle of the street with two public buses in the background .\n', 'A man is wearing a white shirt\n']",2,0,pre:tok:in,1.0
"['A man in a white t - shirt takes a picture in the middle of the street with two public buses in the background .\n', 'A man is wearing a white shirt\n']",2,1000,pre:tok:in,1.0
"['A man in a white t - shirt takes a picture in the middle of the street with two public buses in the background .\n', 'A man is taking photos while on tour in nyc\n']",4,1023,pre:tok:is,1.0
"['A shirtless man is singing into a microphone while a woman next to him plays an accordion .\n', 'He is playing a saxophone .\n']",2,1000,pre:tok:is,1.0
"['A shirtless man is singing into a microphone while a woman next to him plays an accordion .\n', 'He is playing a saxophone .\n']",3,0,pre:tok:is,1.0
"['A shirtless man is singing into a microphone while a woman next to him plays an accordion .\n', 'He is playing a saxophone .\n']",4,1023,pre:tok:is,1.0
"['Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .\n', 'It is very sunny outside .\n']",4,1023,pre:tok:in,1.0
"['Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .\n', 'The woman is running .\n']",2,1023,pre:tok:on,1.0
"['Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .\n', 'The woman is running .\n']",3,1000,pre:tok:on,1.0
"['Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .\n', 'The woman is running .\n']",4,0,pre:tok:on,1.0
"['A pregnant lady singing on stage while holding a flag behind her .\n', 'A woman is sick in bed .\n']",3,850,pre:tok:on,1.0
"['A pregnant lady singing on stage while holding a flag behind her .\n', 'A woman is sick in bed .\n']",4,1023,pre:tok:on,1.0
"['A pregnant lady singing on stage while holding a flag behind her .\n', 'A woman is sick in bed .\n']",5,0,pre:tok:on,1.0
"['A pregnant lady singing on stage while holding a flag behind her .\n', 'A lady is participating in a talent show .\n']",4,1023,pre:tok:on,1.0
"['The two farmers are working on a piece of John Deere equipment .\n', 'John Deere equipment is being worked on by two farmers\n']",4,1023,pre:tok:on,1.0
"['The two farmers are working on a piece of John Deere equipment .\n', '2 Men are making a pool together\n']",3,850,pre:tok:in,1.0
"['The two farmers are working on a piece of John Deere equipment .\n', '2 Men are making a pool together\n']",3,1023,pre:tok:in,1.0
"['A little boy in a blue shirt holding a toy .\n', 'Boy dressed in red lighting things on fire .\n']",2,850,pre:tok:in,1.0
"['A little boy in a blue shirt holding a toy .\n', 'Boy dressed in red lighting things on fire .\n']",2,1023,pre:tok:in,1.0
"['A little boy in a blue shirt holding a toy .\n', 'Boy dressed in red lighting things on fire .\n']",3,1000,pre:tok:in,1.0
"['A little boy in a blue shirt holding a toy .\n', 'Boy dressed in red lighting things on fire .\n']",4,0,pre:tok:in,1.0
"['A woman is writing something on a post - it note which is hanging on a bulletin board with a lot of other post - it notes .\n', 'The woman is writing a grocery list .\n']",2,0,pre:tok:is,1.0
"['A woman is writing something on a post - it note which is hanging on a bulletin board with a lot of other post - it notes .\n', 'The woman is writing a grocery list .\n']",5,1023,pre:tok:is,1.0
"['A woman is writing something on a post - it note which is hanging on a bulletin board with a lot of other post - it notes .\n', 'The woman is talking on the phone .\n']",3,0,pre:tok:is,1.0
"['A woman is writing something on a post - it note which is hanging on a bulletin board with a lot of other post - it notes .\n', 'The woman is talking on the phone .\n']",5,850,pre:tok:is,1.0
"['A woman is writing something on a post - it note which is hanging on a bulletin board with a lot of other post - it notes .\n', 'The woman is writing a note .\n']",5,1023,pre:tok:and,1.0
"['A girl swings high in the air .\n', 'A girl is gaining momentum to flip off the swing\n']",3,850,pre:tok:in,1.0
"['A girl swings high in the air .\n', 'A girl is gaining momentum to flip off the swing\n']",5,1023,pre:tok:in,1.0
