neuron,cluster,formula,pair_num,pre,hyp
283,1,((((NOT pre:tok:is) AND (hyp:tok:and OR oth:overlap:overlap75)) OR hyp:tok:home) OR hyp:tok:after),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
283,1,((((NOT pre:tok:is) AND (hyp:tok:and OR oth:overlap:overlap75)) OR hyp:tok:home) OR hyp:tok:after),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
283,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:from) OR hyp:tok:their) AND (NOT pre:tok:three)),7,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A man selling donuts to a customer during a world exhibition event while people wait in line behind him .
"
283,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:from) OR hyp:tok:their) AND (NOT pre:tok:three)),24,"A young boy in a field of flowers carrying a ball
","boy leaving baseball game
"
283,3,((((NOT pre:tok:and) AND (hyp:tok:for OR hyp:tok:while)) OR hyp:tok:sad) OR hyp:tok:track),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
283,3,((((NOT pre:tok:and) AND (hyp:tok:for OR hyp:tok:while)) OR hyp:tok:sad) OR hyp:tok:track),44,"Two doctors perform surgery on patient .
","Two doctors are performing surgery on a man .
"
1000,1,((((NOT oth:overlap:overlap75) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT pre:tok:white)) OR pre:tok:walk),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
1000,1,((((NOT oth:overlap:overlap75) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT pre:tok:white)) OR pre:tok:walk),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
1000,2,((((hyp:tok:playing OR pre:tok:snow) OR hyp:tok:play) OR hyp:tok:driving) OR hyp:tok:around),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
1000,2,((((hyp:tok:playing OR pre:tok:snow) OR hyp:tok:play) OR hyp:tok:driving) OR hyp:tok:around),17,"Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .
","A child is playing with a ball .
"
1000,3,(((((NOT pre:tok:running) AND hyp:tok:running) OR hyp:tok:soccer) AND (NOT pre:tok:soccer)) OR hyp:tok:everyone),40,"At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .
","A crowd is dancing
"
1000,3,(((((NOT pre:tok:running) AND hyp:tok:running) OR hyp:tok:soccer) AND (NOT pre:tok:soccer)) OR hyp:tok:everyone),67,"The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .
","Only one woman is wearing a head scarf .
"
1023,1,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:with) AND (NOT hyp:tok:outside)) OR pre:tok:to),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
1023,1,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:with) AND (NOT hyp:tok:outside)) OR pre:tok:to),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
1023,2,((((hyp:tok:is OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap50)) OR hyp:tok:to),20,"A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .
","A woman is doing a cartwheel and falls on her head .
"
1023,2,((((hyp:tok:is OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap50)) OR hyp:tok:to),26,"A young boy in a field of flowers carrying a ball
","dog in pool
"
1023,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:at) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),4,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids at a ballgame wash their hands .
"
1023,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:at) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),11,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","boys scoring a touchdown
"
173,1,((((NOT pre:tok:his) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:standing) AND (NOT oth:overlap:overlap75)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
173,1,((((NOT pre:tok:his) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:standing) AND (NOT oth:overlap:overlap75)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
173,2,((((NOT oth:overlap:overlap50) AND (pre:tok:sitting OR pre:tok:water)) OR pre:tok:purple) OR hyp:tok:driving),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
173,2,((((NOT oth:overlap:overlap50) AND (pre:tok:sitting OR pre:tok:water)) OR pre:tok:purple) OR hyp:tok:driving),10,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","dog eats out of bowl
"
173,3,((((NOT pre:tok:dog) AND (hyp:tok:dog OR hyp:tok:running)) OR pre:tok:dock) OR hyp:tok:runs),40,"At an outdoor event in an Asian - themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .
","A crowd is dancing
"
173,3,((((NOT pre:tok:dog) AND (hyp:tok:dog OR hyp:tok:running)) OR pre:tok:dock) OR hyp:tok:runs),91,"A little boy in a blue shirt holding a toy .
","Boy dressed in red lighting things on fire .
"
15,1,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:sleeps) OR hyp:tok:sit) AND (NOT hyp:tok:people)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
15,1,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:sleeps) OR hyp:tok:sit) AND (NOT hyp:tok:people)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
15,2,((((hyp:tok:sits OR hyp:tok:sitting) OR hyp:tok:sleeping) AND (NOT oth:overlap:overlap50)) AND (NOT hyp:tok:down)),10,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","dog eats out of bowl
"
15,2,((((hyp:tok:sits OR hyp:tok:sitting) OR hyp:tok:sleeping) AND (NOT oth:overlap:overlap50)) AND (NOT hyp:tok:down)),19,"A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .
","A woman is fixing her home .
"
15,3,(((((NOT oth:overlap:overlap50) AND hyp:tok:sitting) AND (NOT pre:tok:on)) OR hyp:tok:seated) AND (NOT pre:tok:at)),42,"Two doctors perform surgery on patient .
","Two surgeons are having lunch .
"
15,3,(((((NOT oth:overlap:overlap50) AND hyp:tok:sitting) AND (NOT pre:tok:on)) OR hyp:tok:seated) AND (NOT pre:tok:at)),174,"People are throwing tomatoes at each other .
","The people are sitting and eating their food .
"
1021,1,((((oth:overlap:overlap50 OR pre:tok:on) OR pre:tok:in) AND (NOT hyp:tok:there)) AND (NOT hyp:tok:sitting)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
1021,1,((((oth:overlap:overlap50 OR pre:tok:on) OR pre:tok:in) AND (NOT hyp:tok:there)) AND (NOT hyp:tok:sitting)),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
1021,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:having) AND (NOT hyp:tok:next)) OR hyp:tok:his),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
1021,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:having) AND (NOT hyp:tok:next)) OR hyp:tok:his),4,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids at a ballgame wash their hands .
"
1021,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:friends) AND (NOT hyp:tok:next)),16,"Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .
","A child is reaching to touch the propeller out of curiosity .
"
1021,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:friends) AND (NOT hyp:tok:next)),32,"A senior is waiting at the window of a restaurant that serves sandwiches .
","A man is looking to order a grilled cheese sandwich .
"
870,1,((((pre:tok:is AND pre:tok:man) OR hyp:tok:dancing) OR pre:tok:running) OR hyp:tok:bus),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
870,1,((((pre:tok:is AND pre:tok:man) OR hyp:tok:dancing) OR pre:tok:running) OR hyp:tok:bus),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
870,2,(((((NOT pre:tok:woman) AND hyp:tok:woman) OR hyp:tok:walked) AND (NOT pre:tok:lady)) AND (NOT pre:tok:women)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
870,2,(((((NOT pre:tok:woman) AND hyp:tok:woman) OR hyp:tok:walked) AND (NOT pre:tok:lady)) AND (NOT pre:tok:women)),26,"A young boy in a field of flowers carrying a ball
","dog in pool
"
870,3,(((((NOT pre:tok:woman) AND hyp:tok:woman) AND pre:tok:man) OR pre:tok:6) AND (NOT hyp:tok:man)),6,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A woman drinks her coffee in a small cafe .
"
870,3,(((((NOT pre:tok:woman) AND hyp:tok:woman) AND pre:tok:man) OR pre:tok:6) AND (NOT hyp:tok:man)),56,"A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .
","two ladies pin clothes to dry
"
280,1,((((NOT hyp:tok:to) AND (hyp:tok:are OR oth:overlap:overlap25)) AND (NOT hyp:tok:for)) OR pre:tok:for),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
280,1,((((NOT hyp:tok:to) AND (hyp:tok:are OR oth:overlap:overlap25)) AND (NOT hyp:tok:for)) OR pre:tok:for),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
280,2,((((hyp:tok:people OR oth:overlap:overlap50) OR hyp:tok:sitting) OR hyp:tok:person) AND (NOT hyp:tok:for)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
280,2,((((hyp:tok:people OR oth:overlap:overlap50) OR hyp:tok:sitting) OR hyp:tok:person) AND (NOT hyp:tok:for)),3,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids in numbered jerseys wash their hands .
"
280,3,((((hyp:tok:there OR oth:overlap:overlap75) OR pre:tok:red) OR hyp:tok:person) AND (NOT hyp:tok:for)),34,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .
","Nobody has a suit
"
280,3,((((hyp:tok:there OR oth:overlap:overlap75) OR pre:tok:red) OR hyp:tok:person) AND (NOT hyp:tok:for)),43,"Two doctors perform surgery on patient .
","Doctors are performing surgery .
"
6,1,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
6,1,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
6,2,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:by)) OR hyp:tok:tall) OR hyp:tok:they),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
6,2,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:by)) OR hyp:tok:tall) OR hyp:tok:they),5,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids in jackets walk to school .
"
6,3,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),27,"Families waiting in line at an amusement park for their turn to ride .
","The restaurant is very bad .
"
6,3,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),35,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .
","A tall person in a suit
"
410,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) OR hyp:tok:cat) AND (NOT hyp:tok:there)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
410,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) OR hyp:tok:cat) AND (NOT hyp:tok:there)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
410,2,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:inside) AND (NOT pre:tok:are)),6,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A woman drinks her coffee in a small cafe .
"
410,2,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:inside) AND (NOT pre:tok:are)),10,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","dog eats out of bowl
"
410,3,((((hyp:tok:cat OR hyp:tok:swimming) OR hyp:tok:sleeps) OR hyp:tok:sleeping) OR hyp:tok:parked),45,"A white dog with long hair jumps to catch a red and green toy .
","A white dog with long hair is swimming underwater .
"
410,3,((((hyp:tok:cat OR hyp:tok:swimming) OR hyp:tok:sleeps) OR hyp:tok:sleeping) OR hyp:tok:parked),67,"The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .
","Only one woman is wearing a head scarf .
"
